Comunidades Autónomas;Forma de conexión;Total
Castilla-La Mancha;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;2,8
Castilla-La Mancha;Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);1,5
Cataluña;Total de viviendas que disponen de acceso a Internet;1.692.419
Cataluña;Viviendas con conexión de Banda Ancha;98,3
Cataluña;Conexión de banda ancha por ADSL;86,6
Cataluña;Conexión de banda ancha por red de cable;8,3
Cataluña;Telefonía móvil de banda ancha UMTS, 3G, 3,5G;9,5
Cataluña;Otras conexiones de banda ancha (vía satélite, etc.);1,7
Cataluña;Viviendas con conexión de Banda Estrecha;2,5
Cataluña;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,7
Cataluña;Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);0,8
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet;908.197
Comunitat Valenciana;Viviendas con conexión de Banda Ancha;96,1
Comunitat Valenciana;Conexión de banda ancha por ADSL;61,6
Comunitat Valenciana;Conexión de banda ancha por red de cable;28,6
Comunitat Valenciana;Telefonía móvil de banda ancha UMTS, 3G, 3,5G;21,5
Comunitat Valenciana;Otras conexiones de banda ancha (vía satélite, etc.);2,2
Comunitat Valenciana;Viviendas con conexión de Banda Estrecha;7,5
Comunitat Valenciana;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;2,6
Comunitat Valenciana;Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);5,3
Extremadura;Total de viviendas que disponen de acceso a Internet;162.670
Extremadura;Viviendas con conexión de Banda Ancha;96,7
Extremadura;Conexión de banda ancha por ADSL;86,9
Extremadura;Conexión de banda ancha por red de cable;1,6
Extremadura;Telefonía móvil de banda ancha UMTS, 3G, 3,5G;9,4
Extremadura;Otras conexiones de banda ancha (vía satélite, etc.);6,1
Extremadura;Viviendas con conexión de Banda Estrecha;1,7
Extremadura;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,4
Extremadura;Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);0,3
Galicia;Total de viviendas que disponen de acceso a Internet;440.334
Galicia;Viviendas con conexión de Banda Ancha;95,1
Galicia;Conexión de banda ancha por ADSL;55,4
Galicia;Conexión de banda ancha por red de cable;32,1
Galicia;Telefonía móvil de banda ancha UMTS, 3G, 3,5G;22,8
Galicia;Otras conexiones de banda ancha (vía satélite, etc.);2,8
Galicia;Viviendas con conexión de Banda Estrecha;9,8
Galicia;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;5,4
Galicia;Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);4,7
Madrid (Comunidad de);Total de viviendas que disponen de acceso a Internet;1.391.494
Madrid (Comunidad de);Viviendas con conexión de Banda Ancha;98,6
Madrid (Comunidad de);Conexión de banda ancha por ADSL;88,1
Madrid (Comunidad de);Conexión de banda ancha por red de cable;8,9
Madrid (Comunidad de);Telefonía móvil de banda ancha UMTS, 3G, 3,5G;8,2
Madrid (Comunidad de);Otras conexiones de banda ancha (vía satélite, etc.);1,1
Madrid (Comunidad de);Viviendas con conexión de Banda Estrecha;2,4
Madrid (Comunidad de);Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,6
Madrid (Comunidad de);Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);1,0
Murcia (Región de);Total de viviendas que disponen de acceso a Internet;236.623
Murcia (Región de);Viviendas con conexión de Banda Ancha;96,0
Murcia (Región de);Conexión de banda ancha por ADSL;67,2
Murcia (Región de);Conexión de banda ancha por red de cable;27,3
Murcia (Región de);Telefonía móvil de banda ancha UMTS, 3G, 3,5G;23,5
Murcia (Región de);Otras conexiones de banda ancha (vía satélite, etc.);2,3
Murcia (Región de);Viviendas con conexión de Banda Estrecha;6,1
Murcia (Región de);Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;2,8
Murcia (Región de);Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);3,4
Navarra (Comunidad Foral de);Total de viviendas que disponen de acceso a Internet;132.783
Navarra (Comunidad Foral de);Viviendas con conexión de Banda Ancha;95,2
Navarra (Comunidad Foral de);Conexión de banda ancha por ADSL;67,6
Navarra (Comunidad Foral de);Conexión de banda ancha por red de cable;21,7
Navarra (Comunidad Foral de);Telefonía móvil de banda ancha UMTS, 3G, 3,5G;12,9
Navarra (Comunidad Foral de);Otras conexiones de banda ancha (vía satélite, etc.);4,1
Navarra (Comunidad Foral de);Viviendas con conexión de Banda Estrecha;4,1
Navarra (Comunidad Foral de);Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;3,3
Navarra (Comunidad Foral de);Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);0,8
País Vasco;Total de viviendas que disponen de acceso a Internet;487.971
País Vasco;Viviendas con conexión de Banda Ancha;97,9
País Vasco;Conexión de banda ancha por ADSL;62,4
País Vasco;Conexión de banda ancha por red de cable;33,9
País Vasco;Telefonía móvil de banda ancha UMTS, 3G, 3,5G;9,0
País Vasco;Otras conexiones de banda ancha (vía satélite, etc.);2,3
País Vasco;Viviendas con conexión de Banda Estrecha;2,9
País Vasco;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,2
País Vasco;Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);1,8
Rioja (La);Total de viviendas que disponen de acceso a Internet;58.759
Rioja (La);Viviendas con conexión de Banda Ancha;98,2
Rioja (La);Conexión de banda ancha por ADSL;75,4
Rioja (La);Conexión de banda ancha por red de cable;19,2
Rioja (La);Telefonía móvil de banda ancha UMTS, 3G, 3,5G;5,5
Rioja (La);Otras conexiones de banda ancha (vía satélite, etc.);4,5
Rioja (La);Viviendas con conexión de Banda Estrecha;4,3
Rioja (La);Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;3,1
Rioja (La);Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);1,3
Ceuta;Total de viviendas que disponen de acceso a Internet;14.200
Ceuta;Viviendas con conexión de Banda Ancha;98,0
Ceuta;Conexión de banda ancha por ADSL;94,8
Ceuta;Conexión de banda ancha por red de cable;3,0
Ceuta;Telefonía móvil de banda ancha UMTS, 3G, 3,5G;10,4
Ceuta;Otras conexiones de banda ancha (vía satélite, etc.);2,1
Ceuta;Viviendas con conexión de Banda Estrecha;5,4
Ceuta;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;2,1
Ceuta;Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);3,2
Melilla;Total de viviendas que disponen de acceso a Internet;13.482
Melilla;Viviendas con conexión de Banda Ancha;96,7
Melilla;Conexión de banda ancha por ADSL;79,2
Melilla;Conexión de banda ancha por red de cable;20,2
Melilla;Telefonía móvil de banda ancha UMTS, 3G, 3,5G;5,9
Melilla;Otras conexiones de banda ancha (vía satélite, etc.);0,0
Melilla;Viviendas con conexión de Banda Estrecha;3,6
Melilla;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,0
Melilla;Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);3,6
