Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;14.094.950
Total nacional;Viviendas con conexión de banda ancha;99,9
Total nacional;Conexión de banda ancha por ADSL;35,0
Total nacional;Conexión de banda ancha por red de cable o fibra óptica;57,2
Total nacional;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);7,1
Total nacional;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);83,6
Total nacional;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);8,3
Total nacional;Viviendas con conexión de banda estrecha;1,7
Total nacional;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,6
Total nacional;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,2
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.407.607
Andalucía;Viviendas con conexión de banda ancha;99,9
Andalucía;Conexión de banda ancha por ADSL;35,0
Andalucía;Conexión de banda ancha por red de cable o fibra óptica;53,0
Andalucía;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);6,9
Andalucía;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);84,2
Andalucía;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);6,5
Andalucía;Viviendas con conexión de banda estrecha;1,8
Andalucía;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,7
Andalucía;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,1
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;415.608
Aragón;Viviendas con conexión de banda ancha;100,0
Aragón;Conexión de banda ancha por ADSL;36,5
Aragón;Conexión de banda ancha por red de cable o fibra óptica;59,7
Aragón;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);7,1
Aragón;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);84,5
Aragón;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);9,9
Aragón;Viviendas con conexión de banda estrecha;1,9
Aragón;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,8
Aragón;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,2
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;332.338
Asturias, Principado de;Viviendas con conexión de banda ancha;99,4
Asturias, Principado de;Conexión de banda ancha por ADSL;35,9
Asturias, Principado de;Conexión de banda ancha por red de cable o fibra óptica;52,6
Asturias, Principado de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);6,1
Asturias, Principado de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);87,6
Asturias, Principado de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);7,7
Asturias, Principado de;Viviendas con conexión de banda estrecha;2,4
Asturias, Principado de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,4
Asturias, Principado de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,1
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;364.949
Balears, Illes;Viviendas con conexión de banda ancha;100,0
Balears, Illes;Conexión de banda ancha por ADSL;34,0
Balears, Illes;Conexión de banda ancha por red de cable o fibra óptica;62,6
Balears, Illes;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);6,4
Balears, Illes;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);88,8
Balears, Illes;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);12,9
Balears, Illes;Viviendas con conexión de banda estrecha;0,9
Balears, Illes;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,2
Balears, Illes;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,7
Canarias;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;671.572
Canarias;Viviendas con conexión de banda ancha;99,5
Canarias;Conexión de banda ancha por ADSL;36,8
Canarias;Conexión de banda ancha por red de cable o fibra óptica;52,7
Canarias;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,5
Canarias;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);73,2
Canarias;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);5,3
Canarias;Viviendas con conexión de banda estrecha;2,7
Canarias;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,1
Canarias;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,6
Cantabria;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;173.870
Cantabria;Viviendas con conexión de banda ancha;99,4
Cantabria;Conexión de banda ancha por ADSL;40,6
Cantabria;Conexión de banda ancha por red de cable o fibra óptica;53,1
