Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;11.715.547
Total nacional;Viviendas con conexión de banda ancha;99,6
Total nacional;Conexión de banda ancha por ADSL;66,2
Total nacional;Conexión de banda ancha por red de cable o fibra óptica;20,9
Total nacional;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);6,5
Total nacional;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);67,2
Total nacional;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);7,0
Total nacional;Viviendas con conexión de banda estrecha;2,2
Total nacional;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,7
Total nacional;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,6
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.970.350
Andalucía;Viviendas con conexión de banda ancha;98,7
Andalucía;Conexión de banda ancha por ADSL;66,6
Andalucía;Conexión de banda ancha por red de cable o fibra óptica;16,8
Andalucía;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,6
Andalucía;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);62,6
Andalucía;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);3,8
Andalucía;Viviendas con conexión de banda estrecha;5,0
Andalucía;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,6
Andalucía;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);4,4
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;329.266
Aragón;Viviendas con conexión de banda ancha;99,8
Aragón;Conexión de banda ancha por ADSL;73,1
Aragón;Conexión de banda ancha por red de cable o fibra óptica;15,7
Aragón;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);3,5
Aragón;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);62,7
Aragón;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);9,1
Aragón;Viviendas con conexión de banda estrecha;3,8
Aragón;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,7
Aragón;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);2,7
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;283.079
Asturias, Principado de;Viviendas con conexión de banda ancha;99,4
Asturias, Principado de;Conexión de banda ancha por ADSL;49,4
Asturias, Principado de;Conexión de banda ancha por red de cable o fibra óptica;37,4
Asturias, Principado de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);5,0
Asturias, Principado de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);61,6
Asturias, Principado de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);6,1
Asturias, Principado de;Viviendas con conexión de banda estrecha;0,8
Asturias, Principado de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,0
Asturias, Principado de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,8
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;299.151
Balears, Illes;Viviendas con conexión de banda ancha;100,0
Balears, Illes;Conexión de banda ancha por ADSL;73,2
Balears, Illes;Conexión de banda ancha por red de cable o fibra óptica;17,8
Balears, Illes;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);13,4
Balears, Illes;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);71,8
Balears, Illes;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);12,6
