Comunidades y Ciudades Autónomas;Forma de conexión;Total
Castilla y León;Viviendas con conexión de banda ancha;99,7
Castilla y León;Conexión de banda ancha por ADSL;43,4
Castilla y León;Conexión de banda ancha por red de cable o fibra óptica;44,8
Castilla y León;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);6,3
Castilla y León;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);77,3
Castilla y León;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);6,8
Castilla y León;Viviendas con conexión de banda estrecha;1,7
Castilla y León;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,9
Castilla y León;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,2
Castilla-La Mancha;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;557.987
Castilla-La Mancha;Viviendas con conexión de banda ancha;99,9
Castilla-La Mancha;Conexión de banda ancha por ADSL;48,3
Castilla-La Mancha;Conexión de banda ancha por red de cable o fibra óptica;35,4
Castilla-La Mancha;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);7,1
Castilla-La Mancha;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);80,5
Castilla-La Mancha;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);4,5
Castilla-La Mancha;Viviendas con conexión de banda estrecha;0,9
Castilla-La Mancha;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,5
Castilla-La Mancha;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,6
Cataluña;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.150.128
Cataluña;Viviendas con conexión de banda ancha;99,9
Cataluña;Conexión de banda ancha por ADSL;44
Cataluña;Conexión de banda ancha por red de cable o fibra óptica;51,5
Cataluña;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);15,3
Cataluña;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);75
Cataluña;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);9,6
Cataluña;Viviendas con conexión de banda estrecha;2,1
Cataluña;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1
Cataluña;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,3
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.444.512
Comunitat Valenciana;Viviendas con conexión de banda ancha;100
Comunitat Valenciana;Conexión de banda ancha por ADSL;40
Comunitat Valenciana;Conexión de banda ancha por red de cable o fibra óptica;46,9
Comunitat Valenciana;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);6,6
Comunitat Valenciana;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);71,7
Comunitat Valenciana;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);7,5
Comunitat Valenciana;Viviendas con conexión de banda estrecha;1,5
Comunitat Valenciana;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,6
Comunitat Valenciana;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,2
Extremadura;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;289.925
Extremadura;Viviendas con conexión de banda ancha;100
Extremadura;Conexión de banda ancha por ADSL;51,2
Extremadura;Conexión de banda ancha por red de cable o fibra óptica;28,6
Extremadura;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);5,2
Extremadura;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);81,2
Extremadura;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);6,1
Extremadura;Viviendas con conexión de banda estrecha;1
Extremadura;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,5
Extremadura;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,5
Galicia;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;747.846
Galicia;Viviendas con conexión de banda ancha;99,8
Galicia;Conexión de banda ancha por ADSL;45,6
Galicia;Conexión de banda ancha por red de cable o fibra óptica;41,6
Galicia;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);6
Galicia;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);75
Galicia;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);7,4
Galicia;Viviendas con conexión de banda estrecha;2,4
Galicia;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,4
Galicia;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,2
Madrid, Comunidad de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.051.858
Madrid, Comunidad de;Viviendas con conexión de banda ancha;100
Madrid, Comunidad de;Conexión de banda ancha por ADSL;32,6
Madrid, Comunidad de;Conexión de banda ancha por red de cable o fibra óptica;68,9
Madrid, Comunidad de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);3,3
Madrid, Comunidad de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);73,2
Madrid, Comunidad de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);7,6
Madrid, Comunidad de;Viviendas con conexión de banda estrecha;1,5
Madrid, Comunidad de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,9
Madrid, Comunidad de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1
Murcia, Región de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;411.368
Murcia, Región de;Viviendas con conexión de banda ancha;99,8
Murcia, Región de;Conexión de banda ancha por ADSL;33,9
Murcia, Región de;Conexión de banda ancha por red de cable o fibra óptica;43
Murcia, Región de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);7,9
Murcia, Región de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);82,4
Murcia, Región de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);7,1
Murcia, Región de;Viviendas con conexión de banda estrecha;1,8
Murcia, Región de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,6
Murcia, Región de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,4
Navarra, Comunidad Foral de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;195.426
Navarra, Comunidad Foral de;Viviendas con conexión de banda ancha;99,7
Navarra, Comunidad Foral de;Conexión de banda ancha por ADSL;49,7
Navarra, Comunidad Foral de;Conexión de banda ancha por red de cable o fibra óptica;43,7
Navarra, Comunidad Foral de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);17,9
Navarra, Comunidad Foral de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);70,8
Navarra, Comunidad Foral de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);20,3
Navarra, Comunidad Foral de;Viviendas con conexión de banda estrecha;1,7
Navarra, Comunidad Foral de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,1
Navarra, Comunidad Foral de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,8
País Vasco;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;692.850
País Vasco;Viviendas con conexión de banda ancha;99,6
País Vasco;Conexión de banda ancha por ADSL;34,8
País Vasco;Conexión de banda ancha por red de cable o fibra óptica;56,9
País Vasco;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,1
País Vasco;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);75,2
País Vasco;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);7,6
País Vasco;Viviendas con conexión de banda estrecha;1,6
País Vasco;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,6
País Vasco;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,1
Rioja, La;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;88.833
Rioja, La;Viviendas con conexión de banda ancha;99,9
Rioja, La;Conexión de banda ancha por ADSL;42,4
Rioja, La;Conexión de banda ancha por red de cable o fibra óptica;46
Rioja, La;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);5,9
Rioja, La;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);75,4
Rioja, La;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);6,1
Rioja, La;Viviendas con conexión de banda estrecha;1,9
Rioja, La;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1
Rioja, La;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1
Ceuta;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;18.649
Ceuta;Viviendas con conexión de banda ancha;100
Ceuta;Conexión de banda ancha por ADSL;41,1
Ceuta;Conexión de banda ancha por red de cable o fibra óptica;55,4
Ceuta;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);3,1
Ceuta;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);82,5
Ceuta;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);6,2
Ceuta;Viviendas con conexión de banda estrecha;0
Ceuta;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0
Ceuta;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0
Melilla;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;22.202
Melilla;Viviendas con conexión de banda ancha;98,7
Melilla;Conexión de banda ancha por ADSL;30,4
Melilla;Conexión de banda ancha por red de cable o fibra óptica;65,3
Melilla;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);7,1
Melilla;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);64,9
Melilla;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);5,5
Melilla;Viviendas con conexión de banda estrecha;1,3
Melilla;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0
Melilla;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,3
