Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;13.535.995
Total nacional;Viviendas con conexión de banda ancha;99,8
Total nacional;Conexión de banda ancha por ADSL;41,7
Total nacional;Conexión de banda ancha por red de cable o fibra óptica;49,3
Total nacional;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);7,4
Total nacional;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);76,1
Total nacional;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);7,6
Total nacional;Viviendas con conexión de banda estrecha;1,6
Total nacional;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,9
Total nacional;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,9
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.331.247
Andalucía;Viviendas con conexión de banda ancha;99,6
Andalucía;Conexión de banda ancha por ADSL;45,9
Andalucía;Conexión de banda ancha por red de cable o fibra óptica;40,5
Andalucía;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);6,2
Andalucía;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);79,4
Andalucía;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);4,5
Andalucía;Viviendas con conexión de banda estrecha;1
Andalucía;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,6
Andalucía;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,5
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;404.247
Aragón;Viviendas con conexión de banda ancha;99,7
Aragón;Conexión de banda ancha por ADSL;43,8
Aragón;Conexión de banda ancha por red de cable o fibra óptica;50,4
Aragón;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);5,1
Aragón;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);74,5
Aragón;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);14,1
Aragón;Viviendas con conexión de banda estrecha;3,5
Aragón;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,6
Aragón;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);2,1
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;313.007
Asturias, Principado de;Viviendas con conexión de banda ancha;100
Asturias, Principado de;Conexión de banda ancha por ADSL;36
Asturias, Principado de;Conexión de banda ancha por red de cable o fibra óptica;54,1
Asturias, Principado de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,5
Asturias, Principado de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);71,6
Asturias, Principado de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);7,4
Asturias, Principado de;Viviendas con conexión de banda estrecha;1,1
Asturias, Principado de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,4
Asturias, Principado de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,7
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;349.297
Balears, Illes;Viviendas con conexión de banda ancha;99,6
Balears, Illes;Conexión de banda ancha por ADSL;42,6
Balears, Illes;Conexión de banda ancha por red de cable o fibra óptica;52,2
Balears, Illes;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);14,3
Balears, Illes;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);81,4
Balears, Illes;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);14,4
Balears, Illes;Viviendas con conexión de banda estrecha;1,6
Balears, Illes;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1
Balears, Illes;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,9
Canarias;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;613.034
Canarias;Viviendas con conexión de banda ancha;99,6
Canarias;Conexión de banda ancha por ADSL;46
Canarias;Conexión de banda ancha por red de cable o fibra óptica;43,2
Canarias;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,8
Canarias;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);82,2
Canarias;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);4,8
Canarias;Viviendas con conexión de banda estrecha;1,6
Canarias;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,4
Canarias;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,2
Cantabria;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;181.320
Cantabria;Viviendas con conexión de banda ancha;99,7
Cantabria;Conexión de banda ancha por ADSL;43,7
Cantabria;Conexión de banda ancha por red de cable o fibra óptica;48,4
Cantabria;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,6
Cantabria;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);71,7
Cantabria;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);10,4
Cantabria;Viviendas con conexión de banda estrecha;0,9
Cantabria;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,7
Cantabria;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,2
Castilla y León;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;672.259
