Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;13.031.849
Total nacional;Viviendas con conexión de banda ancha;99,8
Total nacional;Conexión de banda ancha por ADSL;48,3
Total nacional;Conexión de banda ancha por red de cable o fibra óptica;37,5
Total nacional;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);8,1
Total nacional;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);80,1
Total nacional;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);6,6
Total nacional;Viviendas con conexión de banda estrecha;2,2
Total nacional;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,1
Total nacional;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,5
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.216.167
Andalucía;Viviendas con conexión de banda ancha;99,9
Andalucía;Conexión de banda ancha por ADSL;53,0
Andalucía;Conexión de banda ancha por red de cable o fibra óptica;28,2
Andalucía;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);8,5
Andalucía;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);85,5
Andalucía;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);5,9
Andalucía;Viviendas con conexión de banda estrecha;0,8
Andalucía;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,5
Andalucía;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,3
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;382.623
Aragón;Viviendas con conexión de banda ancha;98,9
Aragón;Conexión de banda ancha por ADSL;50,7
Aragón;Conexión de banda ancha por red de cable o fibra óptica;36,8
Aragón;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);2,1
Aragón;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);73,3
Aragón;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);9,0
Aragón;Viviendas con conexión de banda estrecha;6,0
Aragón;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;2,5
Aragón;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);4,5
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;306.521
Asturias, Principado de;Viviendas con conexión de banda ancha;100,0
Asturias, Principado de;Conexión de banda ancha por ADSL;38,7
Asturias, Principado de;Conexión de banda ancha por red de cable o fibra óptica;45,8
Asturias, Principado de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);2,4
Asturias, Principado de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);86,5
Asturias, Principado de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);3,5
Asturias, Principado de;Viviendas con conexión de banda estrecha;0,6
Asturias, Principado de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,2
Asturias, Principado de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,5
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;319.212
Balears, Illes;Viviendas con conexión de banda ancha;100,0
Balears, Illes;Conexión de banda ancha por ADSL;54,3
Balears, Illes;Conexión de banda ancha por red de cable o fibra óptica;37,8
Balears, Illes;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);14,9
Balears, Illes;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);87,4
Balears, Illes;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);15,5
Balears, Illes;Viviendas con conexión de banda estrecha;0,6
Balears, Illes;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,6
Balears, Illes;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,0
Canarias;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;607.516
Canarias;Viviendas con conexión de banda ancha;99,2
Canarias;Conexión de banda ancha por ADSL;53,8
Canarias;Conexión de banda ancha por red de cable o fibra óptica;23,7
Canarias;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);5,2
Canarias;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);77,5
Canarias;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);1,6
Canarias;Viviendas con conexión de banda estrecha;2,2
Canarias;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,9
Canarias;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,5
Cantabria;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;168.995
Cantabria;Viviendas con conexión de banda ancha;99,2
Cantabria;Conexión de banda ancha por ADSL;45,7
Cantabria;Conexión de banda ancha por red de cable o fibra óptica;39,6
Cantabria;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);1,2
Cantabria;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);64,6
Cantabria;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);5,9
Cantabria;Viviendas con conexión de banda estrecha;1,7
Cantabria;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,5
Cantabria;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,2
Castilla y León;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;643.126
Castilla y León;Viviendas con conexión de banda ancha;99,7
Castilla y León;Conexión de banda ancha por ADSL;57,4
Castilla y León;Conexión de banda ancha por red de cable o fibra óptica;29,4
Castilla y León;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);3,0
Castilla y León;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);74,9
Castilla y León;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);2,2
Castilla y León;Viviendas con conexión de banda estrecha;0,8
Castilla y León;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,3
Castilla y León;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,5
Castilla-La Mancha;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;539.585
Castilla-La Mancha;Viviendas con conexión de banda ancha;100,0
Castilla-La Mancha;Conexión de banda ancha por ADSL;58,1
Castilla-La Mancha;Conexión de banda ancha por red de cable o fibra óptica;25,1
Castilla-La Mancha;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,6
Castilla-La Mancha;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);88,5
Castilla-La Mancha;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);1,4
Castilla-La Mancha;Viviendas con conexión de banda estrecha;0,3
Castilla-La Mancha;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,0
Castilla-La Mancha;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,3
Cataluña;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.115.360
Cataluña;Viviendas con conexión de banda ancha;99,9
Cataluña;Conexión de banda ancha por ADSL;51,5
Cataluña;Conexión de banda ancha por red de cable o fibra óptica;39,8
Cataluña;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);19,7
Cataluña;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);85,8
Cataluña;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);15,1
Cataluña;Viviendas con conexión de banda estrecha;5,6
Cataluña;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,8
Cataluña;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);4,2
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.405.733
Comunitat Valenciana;Viviendas con conexión de banda ancha;99,7
Comunitat Valenciana;Conexión de banda ancha por ADSL;43,0
Comunitat Valenciana;Conexión de banda ancha por red de cable o fibra óptica;36,8
Comunitat Valenciana;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);5,5
Comunitat Valenciana;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);69,7
Comunitat Valenciana;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);4,5
Comunitat Valenciana;Viviendas con conexión de banda estrecha;1,4
Comunitat Valenciana;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,6
Comunitat Valenciana;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,9
Extremadura;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;286.471
Extremadura;Viviendas con conexión de banda ancha;99,8
Extremadura;Conexión de banda ancha por ADSL;55,7
Extremadura;Conexión de banda ancha por red de cable o fibra óptica;18,9
Extremadura;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);3,8
Extremadura;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);82,0
Extremadura;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);3,5
Extremadura;Viviendas con conexión de banda estrecha;1,3
Extremadura;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,3
Extremadura;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,0
Galicia;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;716.870
Galicia;Viviendas con conexión de banda ancha;100,0
Galicia;Conexión de banda ancha por ADSL;48,4
Galicia;Conexión de banda ancha por red de cable o fibra óptica;31,1
Galicia;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);6,1
Galicia;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);87,8
Galicia;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);4,4
Galicia;Viviendas con conexión de banda estrecha;0,3
Galicia;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,3
Galicia;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,1
Madrid, Comunidad de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.979.713
Madrid, Comunidad de;Viviendas con conexión de banda ancha;100,0
Madrid, Comunidad de;Conexión de banda ancha por ADSL;38,7
Madrid, Comunidad de;Conexión de banda ancha por red de cable o fibra óptica;58,1
Madrid, Comunidad de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);6,1
Madrid, Comunidad de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);75,7
Madrid, Comunidad de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);6,1
Madrid, Comunidad de;Viviendas con conexión de banda estrecha;3,3
Madrid, Comunidad de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;2,5
Madrid, Comunidad de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);2,2
Murcia, Región de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;385.794
Murcia, Región de;Viviendas con conexión de banda ancha;100,0
Murcia, Región de;Conexión de banda ancha por ADSL;41,3
Murcia, Región de;Conexión de banda ancha por red de cable o fibra óptica;32,2
Murcia, Región de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);7,0
Murcia, Región de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);80,5
Murcia, Región de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);3,3
Murcia, Región de;Viviendas con conexión de banda estrecha;0,5
Murcia, Región de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,1
Murcia, Región de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,4
