Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;10.918.680
Total nacional;Viviendas con conexión de banda ancha;99,8
Total nacional;Conexión de banda ancha por ADSL;70,9
Total nacional;Conexión de banda ancha por red de cable o fibra óptica;18,9
Total nacional;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);7,3
Total nacional;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);47,2
Total nacional;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);8,6
Total nacional;Viviendas con conexión de banda estrecha;2,7
Total nacional;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,2
Total nacional;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,7
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.806.516
Andalucía;Viviendas con conexión de banda ancha;100,0
Andalucía;Conexión de banda ancha por ADSL;71,4
Andalucía;Conexión de banda ancha por red de cable o fibra óptica;16,9
Andalucía;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,8
Andalucía;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);42,0
Andalucía;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);5,0
Andalucía;Viviendas con conexión de banda estrecha;2,2
Andalucía;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,4
Andalucía;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,9
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;305.198
Aragón;Viviendas con conexión de banda ancha;99,5
Aragón;Conexión de banda ancha por ADSL;73,0
Aragón;Conexión de banda ancha por red de cable o fibra óptica;17,0
Aragón;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);5,3
Aragón;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);38,7
Aragón;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);5,1
Aragón;Viviendas con conexión de banda estrecha;8,1
Aragón;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;6,6
Aragón;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);2,0
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;272.173
Asturias, Principado de;Viviendas con conexión de banda ancha;99,1
Asturias, Principado de;Conexión de banda ancha por ADSL;51,1
Asturias, Principado de;Conexión de banda ancha por red de cable o fibra óptica;35,8
Asturias, Principado de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);3,4
Asturias, Principado de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);47,8
Asturias, Principado de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);10,8
Asturias, Principado de;Viviendas con conexión de banda estrecha;3,3
