Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;12.534.134
Total nacional;Viviendas con conexión de banda ancha;99,7
Total nacional;Conexión de banda ancha por ADSL;58,4
Total nacional;Conexión de banda ancha por red de cable o fibra óptica;27,9
Total nacional;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);7,0
Total nacional;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);77,1
Total nacional;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);6,6
Total nacional;Viviendas con conexión de banda estrecha;2,0
Total nacional;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,0
Total nacional;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,1
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.115.878
Andalucía;Viviendas con conexión de banda ancha;99,7
Andalucía;Conexión de banda ancha por ADSL;59,1
Andalucía;Conexión de banda ancha por red de cable o fibra óptica;20,9
Andalucía;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);7,0
Andalucía;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);79,6
Andalucía;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);6,2
Andalucía;Viviendas con conexión de banda estrecha;1,3
Andalucía;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,4
Andalucía;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,9
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;358.020
Aragón;Viviendas con conexión de banda ancha;99,3
Aragón;Conexión de banda ancha por ADSL;64,6
Aragón;Conexión de banda ancha por red de cable o fibra óptica;27,9
Aragón;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);6,0
Aragón;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);65,6
Aragón;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);10,2
Aragón;Viviendas con conexión de banda estrecha;7,4
Aragón;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;4,2
Aragón;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);4,4
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;302.069
Asturias, Principado de;Viviendas con conexión de banda ancha;100,0
Asturias, Principado de;Conexión de banda ancha por ADSL;44,9
Asturias, Principado de;Conexión de banda ancha por red de cable o fibra óptica;40,4
