Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;10.427.360
Total nacional;Viviendas con conexión de banda ancha;99,6
Total nacional;Conexión de banda ancha por ADSL;74,1
Total nacional;Conexión de banda ancha por red de cable o fibra óptica;16,8
Total nacional;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);5,8
Total nacional;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);26,8
Total nacional;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);10,4
Total nacional;Viviendas con conexión de banda estrecha;3,5
Total nacional;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,9
Total nacional;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);2,8
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.705.145
Andalucía;Viviendas con conexión de banda ancha;99,2
Andalucía;Conexión de banda ancha por ADSL;73,2
Andalucía;Conexión de banda ancha por red de cable o fibra óptica;15,6
Andalucía;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,9
Andalucía;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);21,4
Andalucía;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);9,5
Andalucía;Viviendas con conexión de banda estrecha;2,1
Andalucía;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,9
Andalucía;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,3
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;304.469
Aragón;Viviendas con conexión de banda ancha;99,8
Aragón;Conexión de banda ancha por ADSL;79,0
Aragón;Conexión de banda ancha por red de cable o fibra óptica;13,2
Aragón;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,4
Aragón;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);30,9
Aragón;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);14,9
Aragón;Viviendas con conexión de banda estrecha;2,8
Aragón;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,5
Aragón;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,3
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;248.766
Asturias, Principado de;Viviendas con conexión de banda ancha;99,7
Asturias, Principado de;Conexión de banda ancha por ADSL;53,9
Asturias, Principado de;Conexión de banda ancha por red de cable o fibra óptica;37,5
Asturias, Principado de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);2,4
Asturias, Principado de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);17,2
Asturias, Principado de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);13,2
Asturias, Principado de;Viviendas con conexión de banda estrecha;0,5
Asturias, Principado de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,3
Asturias, Principado de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,2
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;263.711
Balears, Illes;Viviendas con conexión de banda ancha;100,0
Balears, Illes;Conexión de banda ancha por ADSL;76,7
Balears, Illes;Conexión de banda ancha por red de cable o fibra óptica;14,1
Balears, Illes;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);17,9
Balears, Illes;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);19,9
Balears, Illes;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);6,8
Balears, Illes;Viviendas con conexión de banda estrecha;0,0
Balears, Illes;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,0
Balears, Illes;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,0
Canarias;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;462.893
Canarias;Viviendas con conexión de banda ancha;99,1
Canarias;Conexión de banda ancha por ADSL;79,1
Canarias;Conexión de banda ancha por red de cable o fibra óptica;12,2
Canarias;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);8,6
Canarias;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);12,8
Canarias;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);10,4
Canarias;Viviendas con conexión de banda estrecha;1,6
Canarias;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,2
Canarias;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,6
Cantabria;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;137.113
Cantabria;Viviendas con conexión de banda ancha;100,0
Cantabria;Conexión de banda ancha por ADSL;55,9
Cantabria;Conexión de banda ancha por red de cable o fibra óptica;35,4
Cantabria;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,5
Cantabria;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);23,2
Cantabria;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);12,2
Cantabria;Viviendas con conexión de banda estrecha;2,0
Cantabria;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,7
Cantabria;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,5
Castilla y León;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;540.568
Castilla y León;Viviendas con conexión de banda ancha;99,1
Castilla y León;Conexión de banda ancha por ADSL;72,6
Castilla y León;Conexión de banda ancha por red de cable o fibra óptica;15,0
Castilla y León;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);12,6
Castilla y León;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);22,6
Castilla y León;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);10,5
Castilla y León;Viviendas con conexión de banda estrecha;1,2
Castilla y León;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,5
Castilla y León;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,7
Castilla-La Mancha;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;400.909
Castilla-La Mancha;Viviendas con conexión de banda ancha;99,8
Castilla-La Mancha;Conexión de banda ancha por ADSL;81,0
Castilla-La Mancha;Conexión de banda ancha por red de cable o fibra óptica;9,6
Castilla-La Mancha;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,5
Castilla-La Mancha;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);17,6
Castilla-La Mancha;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);10,4
Castilla-La Mancha;Viviendas con conexión de banda estrecha;2,2
Castilla-La Mancha;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,6
Castilla-La Mancha;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);2,0
Cataluña;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.782.744
Cataluña;Viviendas con conexión de banda ancha;99,8
Cataluña;Conexión de banda ancha por ADSL;85,0
Cataluña;Conexión de banda ancha por red de cable o fibra óptica;7,7
Cataluña;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);4,9
Cataluña;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);29,6
Cataluña;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);7,1
Cataluña;Viviendas con conexión de banda estrecha;4,9
Cataluña;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,5
Cataluña;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);4,6
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.047.421
Comunitat Valenciana;Viviendas con conexión de banda ancha;99,2
Comunitat Valenciana;Conexión de banda ancha por ADSL;61,9
