Comunidades y Ciudades Autónomas;Forma de conexión;Total
Comunitat Valenciana;Conexión de banda ancha por red de cable o fibra óptica;26,8
Comunitat Valenciana;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);5,7
Comunitat Valenciana;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);28,0
Comunitat Valenciana;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);13,1
Comunitat Valenciana;Viviendas con conexión de banda estrecha;5,2
Comunitat Valenciana;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,9
Comunitat Valenciana;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);3,9
Extremadura;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;204.350
Extremadura;Viviendas con conexión de banda ancha;99,3
Extremadura;Conexión de banda ancha por ADSL;80,0
Extremadura;Conexión de banda ancha por red de cable o fibra óptica;2,9
Extremadura;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);7,6
Extremadura;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);30,5
Extremadura;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);13,7
Extremadura;Viviendas con conexión de banda estrecha;1,9
Extremadura;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,7
Extremadura;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,2
Galicia;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;565.302
Galicia;Viviendas con conexión de banda ancha;99,4
Galicia;Conexión de banda ancha por ADSL;58,1
Galicia;Conexión de banda ancha por red de cable o fibra óptica;25,0
Galicia;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);3,7
Galicia;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);30,9
Galicia;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);12,2
Galicia;Viviendas con conexión de banda estrecha;1,3
Galicia;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,6
Galicia;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,6
Madrid, Comunidad de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.673.786
Madrid, Comunidad de;Viviendas con conexión de banda ancha;100,0
Madrid, Comunidad de;Conexión de banda ancha por ADSL;83,0
Madrid, Comunidad de;Conexión de banda ancha por red de cable o fibra óptica;14,2
Madrid, Comunidad de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);3,0
Madrid, Comunidad de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);33,2
Madrid, Comunidad de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);10,4
Madrid, Comunidad de;Viviendas con conexión de banda estrecha;3,8
Madrid, Comunidad de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,1
Madrid, Comunidad de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);3,1
Murcia, Región de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;278.620
Murcia, Región de;Viviendas con conexión de banda ancha;99,2
Murcia, Región de;Conexión de banda ancha por ADSL;59,3
Murcia, Región de;Conexión de banda ancha por red de cable o fibra óptica;25,8
Murcia, Región de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);6,0
Murcia, Región de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);32,9
Murcia, Región de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);18,7
Murcia, Región de;Viviendas con conexión de banda estrecha;3,7
Murcia, Región de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,7
Murcia, Región de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);2,0
Navarra, Comunidad Foral de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;151.372
Navarra, Comunidad Foral de;Viviendas con conexión de banda ancha;100,0
Navarra, Comunidad Foral de;Conexión de banda ancha por ADSL;74,5
Navarra, Comunidad Foral de;Conexión de banda ancha por red de cable o fibra óptica;14,1
Navarra, Comunidad Foral de;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);8,9
Navarra, Comunidad Foral de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);25,2
Navarra, Comunidad Foral de;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);10,5
Navarra, Comunidad Foral de;Viviendas con conexión de banda estrecha;1,9
Navarra, Comunidad Foral de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,2
Navarra, Comunidad Foral de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,9
País Vasco;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;557.340
País Vasco;Viviendas con conexión de banda ancha;99,7
País Vasco;Conexión de banda ancha por ADSL;60,9
País Vasco;Conexión de banda ancha por red de cable o fibra óptica;31,4
País Vasco;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);8,1
País Vasco;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);34,7
País Vasco;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);10,0
País Vasco;Viviendas con conexión de banda estrecha;11,6
País Vasco;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,6
País Vasco;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);11,3
Rioja, La;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;71.327
Rioja, La;Viviendas con conexión de banda ancha;99,4
Rioja, La;Conexión de banda ancha por ADSL;67,7
Rioja, La;Conexión de banda ancha por red de cable o fibra óptica;23,7
Rioja, La;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);13,5
Rioja, La;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);23,0
Rioja, La;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);6,7
Rioja, La;Viviendas con conexión de banda estrecha;3,0
Rioja, La;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,5
Rioja, La;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);2,1
Ceuta;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;17.254
Ceuta;Viviendas con conexión de banda ancha;100,0
Ceuta;Conexión de banda ancha por ADSL;95,7
Ceuta;Conexión de banda ancha por red de cable o fibra óptica;1,6
Ceuta;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);14,7
Ceuta;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);8,0
Ceuta;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);2,7
Ceuta;Viviendas con conexión de banda estrecha;0,0
Ceuta;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,0
Ceuta;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,0
Melilla;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;14.270
Melilla;Viviendas con conexión de banda ancha;100,0
Melilla;Conexión de banda ancha por ADSL;85,6
Melilla;Conexión de banda ancha por red de cable o fibra óptica;7,9
Melilla;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);1,6
Melilla;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);5,2
Melilla;Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);8,7
Melilla;Viviendas con conexión de banda estrecha;0,0
Melilla;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,0
Melilla;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,0
