Comunidades y Ciudades Autónomas;Forma de conexión;Total
Castilla y León;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);14,0
Castilla y León;Viviendas con conexión de banda estrecha;2,8
Castilla y León;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,7
Castilla y León;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,3
Castilla-La Mancha;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;380.782
Castilla-La Mancha;Viviendas con conexión de banda ancha;99,1
Castilla-La Mancha;Conexión de banda ancha por ADSL;80,7
Castilla-La Mancha;Conexión de banda ancha por red de cable o fibra óptica;10,6
Castilla-La Mancha;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);8,3
Castilla-La Mancha;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);10,0
Castilla-La Mancha;Viviendas con conexión de banda estrecha;1,9
Castilla-La Mancha;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,9
Castilla-La Mancha;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,1
Cataluña;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.775.135
Cataluña;Viviendas con conexión de banda ancha;99,0
Cataluña;Conexión de banda ancha por ADSL;86,9
Cataluña;Conexión de banda ancha por red de cable o fibra óptica;6,6
Cataluña;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);14,2
Cataluña;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);11,7
Cataluña;Viviendas con conexión de banda estrecha;4,0
Cataluña;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;2,1
Cataluña;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);2,1
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.023.636
Comunitat Valenciana;Viviendas con conexión de banda ancha;99,2
Comunitat Valenciana;Conexión de banda ancha por ADSL;60,6
Comunitat Valenciana;Conexión de banda ancha por red de cable o fibra óptica;28,6
Comunitat Valenciana;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);15,6
Comunitat Valenciana;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);8,6
Comunitat Valenciana;Viviendas con conexión de banda estrecha;3,2
Comunitat Valenciana;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,4
Comunitat Valenciana;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);2,0
Extremadura;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;184.644
Extremadura;Viviendas con conexión de banda ancha;99,1
Extremadura;Conexión de banda ancha por ADSL;84,4
