Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;15.042.754
Total nacional;Viviendas con conexión de banda ancha;99,7
Total nacional;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;85,2
Total nacional;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);83,9
Total nacional;Viviendas con conexión de banda estrecha;1,4
Total nacional;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,4
Total nacional;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.577.826
Andalucía;Viviendas con conexión de banda ancha;99,4
Andalucía;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;83
Andalucía;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);82,6
Andalucía;Viviendas con conexión de banda estrecha;1,5
Andalucía;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,5
Andalucía;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;434.126
Aragón;Viviendas con conexión de banda ancha;99,4
Aragón;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;85,7
Aragón;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);87,2
Aragón;Viviendas con conexión de banda estrecha;1,9
Aragón;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,1
Aragón;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,8
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;359.223
Asturias, Principado de;Viviendas con conexión de banda ancha;99,6
Asturias, Principado de;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;79,8
Asturias, Principado de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);89,5
Asturias, Principado de;Viviendas con conexión de banda estrecha;1,4
Asturias, Principado de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,4
Asturias, Principado de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,1
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;386.248
Balears, Illes;Viviendas con conexión de banda ancha;99,8
Balears, Illes;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;90
Balears, Illes;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);81,4
Balears, Illes;Viviendas con conexión de banda estrecha;0,7
Balears, Illes;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,2
Balears, Illes;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,5
Canarias;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;711.852
Canarias;Viviendas con conexión de banda ancha;99,2
Canarias;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;86,6
Canarias;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);72,6
Canarias;Viviendas con conexión de banda estrecha;2,4
Canarias;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,8
Canarias;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,8
Cantabria;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;190.291
Cantabria;Viviendas con conexión de banda ancha;100
Cantabria;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;83,4
Cantabria;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);85,4
Cantabria;Viviendas con conexión de banda estrecha;0,5
Cantabria;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;..
Cantabria;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,5
Castilla y León;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;753.176
Castilla y León;Viviendas con conexión de banda ancha;99,6
Castilla y León;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;78,3
Castilla y León;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);84,2
Castilla y León;Viviendas con conexión de banda estrecha;2,7
Castilla y León;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,3
Castilla y León;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,6
Castilla-La Mancha;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;599.613
Castilla-La Mancha;Viviendas con conexión de banda ancha;99,9
Castilla-La Mancha;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;82
Castilla-La Mancha;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);82
Castilla-La Mancha;Viviendas con conexión de banda estrecha;1,6
Castilla-La Mancha;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,3
Castilla-La Mancha;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,4
Cataluña;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.487.158
Cataluña;Viviendas con conexión de banda ancha;99,9
Cataluña;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;87,3
Cataluña;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);86,4
Cataluña;Viviendas con conexión de banda estrecha;0,6
Cataluña;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,2
Cataluña;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,4
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.614.707
Comunitat Valenciana;Viviendas con conexión de banda ancha;99,9
Comunitat Valenciana;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;85,8
Comunitat Valenciana;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);82,9
Comunitat Valenciana;Viviendas con conexión de banda estrecha;1,5
Comunitat Valenciana;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,2
Comunitat Valenciana;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,4
Extremadura;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;333.511
Extremadura;Viviendas con conexión de banda ancha;99,8
Extremadura;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;77
Extremadura;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);86,2
Extremadura;Viviendas con conexión de banda estrecha;2,1
Extremadura;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,5
Extremadura;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,8
Galicia;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;858.536
Galicia;Viviendas con conexión de banda ancha;99,3
Galicia;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;76,2
Galicia;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);83,1
Galicia;Viviendas con conexión de banda estrecha;3
Galicia;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,2
Galicia;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,9
Madrid, Comunidad de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.208.050
Madrid, Comunidad de;Viviendas con conexión de banda ancha;99,9
Madrid, Comunidad de;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;91,9
Madrid, Comunidad de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);85,5
Madrid, Comunidad de;Viviendas con conexión de banda estrecha;0,7
Madrid, Comunidad de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,1
Madrid, Comunidad de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,6
Murcia, Región de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;445.890
Murcia, Región de;Viviendas con conexión de banda ancha;99,7
Murcia, Región de;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;84,3
Murcia, Región de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);88,5
Murcia, Región de;Viviendas con conexión de banda estrecha;0,9
Murcia, Región de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;..
Murcia, Región de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,9
Navarra, Comunidad Foral de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;210.783
Navarra, Comunidad Foral de;Viviendas con conexión de banda ancha;99,4
Navarra, Comunidad Foral de;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;88,2
Navarra, Comunidad Foral de;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);81,5
Navarra, Comunidad Foral de;Viviendas con conexión de banda estrecha;1,9
Navarra, Comunidad Foral de;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;1
Navarra, Comunidad Foral de;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,9
País Vasco;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;724.674
País Vasco;Viviendas con conexión de banda ancha;99,9
País Vasco;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;87,9
País Vasco;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);83,5
País Vasco;Viviendas con conexión de banda estrecha;1,6
País Vasco;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,3
País Vasco;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,4
Rioja, La;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;102.703
Rioja, La;Viviendas con conexión de banda ancha;99,3
Rioja, La;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;81,3
Rioja, La;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);86,4
Rioja, La;Viviendas con conexión de banda estrecha;1,5
Rioja, La;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,7
Rioja, La;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);0,8
Ceuta;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;17.058
Ceuta;Viviendas con conexión de banda ancha;100
Ceuta;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;85,4
Ceuta;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);91
Ceuta;Viviendas con conexión de banda estrecha;2
Ceuta;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;..
Ceuta;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);2
Melilla;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;27.330
Melilla;Viviendas con conexión de banda ancha;100
Melilla;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;80,1
Melilla;Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...) vía modem USB ó tarjeta (en portátiles, p.ej.);91,1
Melilla;Viviendas con conexión de banda estrecha;..
Melilla;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;..
Melilla;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);..
