Clase de población;Comunidades y Ciudades Autónomas;Competencias digitales;Total
Total de personas (16 a 74 años);Comunitat Valenciana;COMPETENCIAS INFORMÁTICAS: Avanzada;41,1
Total de personas (16 a 74 años);Extremadura;HABILIDADES DIGITALES: Habilidad Avanzada;34,9
Total de personas (16 a 74 años);Extremadura;HABILIDADES DE INFORMACIÓN: Avanzada;70,1
Total de personas (16 a 74 años);Extremadura;HABILIDADES DE COMUNICACIÓN: Avanzada;65,5
Total de personas (16 a 74 años);Extremadura;HABILIDADES DE RESOLUCIÓN: Avanzada;54,6
Total de personas (16 a 74 años);Extremadura;COMPETENCIAS INFORMÁTICAS: Avanzada;40,9
Total de personas (16 a 74 años);Galicia;HABILIDADES DIGITALES: Habilidad Avanzada;29,0
Total de personas (16 a 74 años);Galicia;HABILIDADES DE INFORMACIÓN: Avanzada;65,4
Total de personas (16 a 74 años);Galicia;HABILIDADES DE COMUNICACIÓN: Avanzada;57,9
Total de personas (16 a 74 años);Galicia;HABILIDADES DE RESOLUCIÓN: Avanzada;52,6
Total de personas (16 a 74 años);Galicia;COMPETENCIAS INFORMÁTICAS: Avanzada;37,4
Total de personas (16 a 74 años);Madrid, Comunidad de;HABILIDADES DIGITALES: Habilidad Avanzada;44,8
Total de personas (16 a 74 años);Madrid, Comunidad de;HABILIDADES DE INFORMACIÓN: Avanzada;81,4
Total de personas (16 a 74 años);Madrid, Comunidad de;HABILIDADES DE COMUNICACIÓN: Avanzada;72,3
Total de personas (16 a 74 años);Madrid, Comunidad de;HABILIDADES DE RESOLUCIÓN: Avanzada;67,5
Total de personas (16 a 74 años);Madrid, Comunidad de;COMPETENCIAS INFORMÁTICAS: Avanzada;53,5
Total de personas (16 a 74 años);Murcia, Región de;HABILIDADES DIGITALES: Habilidad Avanzada;32,1
Total de personas (16 a 74 años);Murcia, Región de;HABILIDADES DE INFORMACIÓN: Avanzada;70,7
Total de personas (16 a 74 años);Murcia, Región de;HABILIDADES DE COMUNICACIÓN: Avanzada;60,6
Total de personas (16 a 74 años);Murcia, Región de;HABILIDADES DE RESOLUCIÓN: Avanzada;53,5
Total de personas (16 a 74 años);Murcia, Región de;COMPETENCIAS INFORMÁTICAS: Avanzada;40,0
Total de personas (16 a 74 años);Navarra, Comunidad Foral de;HABILIDADES DIGITALES: Habilidad Avanzada;37,4
Total de personas (16 a 74 años);Navarra, Comunidad Foral de;HABILIDADES DE INFORMACIÓN: Avanzada;79,2
Total de personas (16 a 74 años);Navarra, Comunidad Foral de;HABILIDADES DE COMUNICACIÓN: Avanzada;66,7
Total de personas (16 a 74 años);Navarra, Comunidad Foral de;HABILIDADES DE RESOLUCIÓN: Avanzada;62,6
Total de personas (16 a 74 años);Navarra, Comunidad Foral de;COMPETENCIAS INFORMÁTICAS: Avanzada;46,2
Total de personas (16 a 74 años);País Vasco;HABILIDADES DIGITALES: Habilidad Avanzada;34,2
Total de personas (16 a 74 años);País Vasco;HABILIDADES DE INFORMACIÓN: Avanzada;75,9
Total de personas (16 a 74 años);País Vasco;HABILIDADES DE COMUNICACIÓN: Avanzada;61,4
Total de personas (16 a 74 años);País Vasco;HABILIDADES DE RESOLUCIÓN: Avanzada;60,9
Total de personas (16 a 74 años);País Vasco;COMPETENCIAS INFORMÁTICAS: Avanzada;43,2
Total de personas (16 a 74 años);Rioja, La;HABILIDADES DIGITALES: Habilidad Avanzada;32,3
Total de personas (16 a 74 años);Rioja, La;HABILIDADES DE INFORMACIÓN: Avanzada;72,3
Total de personas (16 a 74 años);Rioja, La;HABILIDADES DE COMUNICACIÓN: Avanzada;59,6
Total de personas (16 a 74 años);Rioja, La;HABILIDADES DE RESOLUCIÓN: Avanzada;57,7
Total de personas (16 a 74 años);Rioja, La;COMPETENCIAS INFORMÁTICAS: Avanzada;41,4
Total de personas (16 a 74 años);Ceuta;HABILIDADES DIGITALES: Habilidad Avanzada;64,7
Total de personas (16 a 74 años);Ceuta;HABILIDADES DE INFORMACIÓN: Avanzada;92,2
Total de personas (16 a 74 años);Ceuta;HABILIDADES DE COMUNICACIÓN: Avanzada;85,6
Total de personas (16 a 74 años);Ceuta;HABILIDADES DE RESOLUCIÓN: Avanzada;74,8
Total de personas (16 a 74 años);Ceuta;COMPETENCIAS INFORMÁTICAS: Avanzada;68,9
Total de personas (16 a 74 años);Melilla;HABILIDADES DIGITALES: Habilidad Avanzada;23,7
Total de personas (16 a 74 años);Melilla;HABILIDADES DE INFORMACIÓN: Avanzada;71,2
Total de personas (16 a 74 años);Melilla;HABILIDADES DE COMUNICACIÓN: Avanzada;65,3
Total de personas (16 a 74 años);Melilla;HABILIDADES DE RESOLUCIÓN: Avanzada;37,9
Total de personas (16 a 74 años);Melilla;COMPETENCIAS INFORMÁTICAS: Avanzada;28,5
Usuarios de Internet en los últimos 3 meses;Total nacional;HABILIDADES DIGITALES: Habilidad Avanzada;39,8
Usuarios de Internet en los últimos 3 meses;Total nacional;HABILIDADES DE INFORMACIÓN: Avanzada;81,1
Usuarios de Internet en los últimos 3 meses;Total nacional;HABILIDADES DE COMUNICACIÓN: Avanzada;73,3
Usuarios de Internet en los últimos 3 meses;Total nacional;HABILIDADES DE RESOLUCIÓN: Avanzada;65,6
Usuarios de Internet en los últimos 3 meses;Total nacional;COMPETENCIAS INFORMÁTICAS: Avanzada;48,2
Usuarios de Internet en los últimos 3 meses;Andalucía;HABILIDADES DIGITALES: Habilidad Avanzada;38,0
Usuarios de Internet en los últimos 3 meses;Andalucía;HABILIDADES DE INFORMACIÓN: Avanzada;79,3
Usuarios de Internet en los últimos 3 meses;Andalucía;HABILIDADES DE COMUNICACIÓN: Avanzada;73,8
Usuarios de Internet en los últimos 3 meses;Andalucía;HABILIDADES DE RESOLUCIÓN: Avanzada;64,7
Usuarios de Internet en los últimos 3 meses;Andalucía;COMPETENCIAS INFORMÁTICAS: Avanzada;43,7
Usuarios de Internet en los últimos 3 meses;Aragón;HABILIDADES DIGITALES: Habilidad Avanzada;39,0
Usuarios de Internet en los últimos 3 meses;Aragón;HABILIDADES DE INFORMACIÓN: Avanzada;79,8
Usuarios de Internet en los últimos 3 meses;Aragón;HABILIDADES DE COMUNICACIÓN: Avanzada;73,7
Usuarios de Internet en los últimos 3 meses;Aragón;HABILIDADES DE RESOLUCIÓN: Avanzada;62,8
