;SI 
TOTAL;8,52
ANDALUCÍA;8,90
ARAGÓN;6,09
ASTURIAS, PRINCIPADO DE;12,88
BALEARS, ILLES;7,33
CANARIAS;5,71
CANTABRIA;4,33
CASTILLA Y LEÓN;10,47
CASTILLA-LA MANCHA;14,58
CATALUÑA;7,28
COMUNITAT VALENCIANA;5,20
EXTREMADURA;6,09
GALICIA;14,37
MADRID, COMUNIDAD DE;8,06
MURCIA, REGIÓN DE;7,68
NAVARRA, COMUNIDAD FORAL DE;9,71
PAÍS VASCO;9,85
RIOJA, LA;10,45
CEUTA;12,50
MELILLA;4,41
