;SI 
TOTAL;19,81
ANDALUCÍA;18,97
ARAGÓN;22,27
ASTURIAS, PRINCIPADO DE;22,78
BALEARS, ILLES;11,36
CANARIAS;18,72
CANTABRIA;22,91
CASTILLA Y LEÓN;20,08
CASTILLA-LA MANCHA;22,69
CATALUÑA;19,28
COMUNITAT VALENCIANA;19,81
EXTREMADURA;20,53
GALICIA;24,24
MADRID, COMUNIDAD DE;18,73
MURCIA, REGIÓN DE;19,82
NAVARRA, COMUNIDAD FORAL DE;20,94
PAÍS VASCO;20,82
RIOJA, LA;17,18
CEUTA;23,45
MELILLA;13,91
