Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;13.031.849
Total nacional;Conexión de banda ancha por ADSL;48,3
Total nacional;Conexión de banda ancha por red de cable o fibra óptica;37,5
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.216.167
Andalucía;Conexión de banda ancha por ADSL;53
Andalucía;Conexión de banda ancha por red de cable o fibra óptica;28,2
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;382.623
Aragón;Conexión de banda ancha por ADSL;50,7
Aragón;Conexión de banda ancha por red de cable o fibra óptica;36,8
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;306.521
Asturias, Principado de;Conexión de banda ancha por ADSL;38,7
Asturias, Principado de;Conexión de banda ancha por red de cable o fibra óptica;45,8
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;319.212
Balears, Illes;Conexión de banda ancha por ADSL;54,3
Balears, Illes;Conexión de banda ancha por red de cable o fibra óptica;37,8
Canarias;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;607.516
Canarias;Conexión de banda ancha por ADSL;53,8
Canarias;Conexión de banda ancha por red de cable o fibra óptica;23,7
Cantabria;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;168.995
Cantabria;Conexión de banda ancha por ADSL;45,7
Cantabria;Conexión de banda ancha por red de cable o fibra óptica;39,6
Castilla y León;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;643.126
Castilla y León;Conexión de banda ancha por ADSL;57,4
Castilla y León;Conexión de banda ancha por red de cable o fibra óptica;29,4
Castilla-La Mancha;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;539.585
Castilla-La Mancha;Conexión de banda ancha por ADSL;58,1
Castilla-La Mancha;Conexión de banda ancha por red de cable o fibra óptica;25,1
Cataluña;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.115.360
Cataluña;Conexión de banda ancha por ADSL;51,5
Cataluña;Conexión de banda ancha por red de cable o fibra óptica;39,8
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.405.733
Comunitat Valenciana;Conexión de banda ancha por ADSL;43
Comunitat Valenciana;Conexión de banda ancha por red de cable o fibra óptica;36,8
Extremadura;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;286.471
Extremadura;Conexión de banda ancha por ADSL;55,7
Extremadura;Conexión de banda ancha por red de cable o fibra óptica;18,9
Galicia;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;716.870
Galicia;Conexión de banda ancha por ADSL;48,4
Galicia;Conexión de banda ancha por red de cable o fibra óptica;31,1
Madrid, Comunidad de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.979.713
Madrid, Comunidad de;Conexión de banda ancha por ADSL;38,7
Madrid, Comunidad de;Conexión de banda ancha por red de cable o fibra óptica;58,1
Murcia, Región de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;385.794
Murcia, Región de;Conexión de banda ancha por ADSL;41,3
Murcia, Región de;Conexión de banda ancha por red de cable o fibra óptica;32,2
Navarra, Comunidad Foral de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;175.315
Navarra, Comunidad Foral de;Conexión de banda ancha por ADSL;57,7
Navarra, Comunidad Foral de;Conexión de banda ancha por red de cable o fibra óptica;30,3
País Vasco;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;654.659
País Vasco;Conexión de banda ancha por ADSL;40,7
País Vasco;Conexión de banda ancha por red de cable o fibra óptica;46,8
Rioja, La;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;86.949
Rioja, La;Conexión de banda ancha por ADSL;44,8
Rioja, La;Conexión de banda ancha por red de cable o fibra óptica;40,5
Ceuta;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;18.899
Ceuta;Conexión de banda ancha por ADSL;32,6
Ceuta;Conexión de banda ancha por red de cable o fibra óptica;56
Melilla;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;22.342
Melilla;Conexión de banda ancha por ADSL;33,3
Melilla;Conexión de banda ancha por red de cable o fibra óptica;34,4
