;SI ;NO 
TOTAL;0,69;99,31
ANDALUCÍA;0,65;99,35
ARAGÓN;0,09;99,91
ASTURIAS, PRINCIPADO DE;0,38;99,62
BALEARS, ILLES;0,23;99,77
CANARIAS;0,49;99,51
CANTABRIA;0,89;99,11
CASTILLA Y LEÓN;0,95;99,05
CASTILLA-LA MANCHA;0,83;99,17
CATALUÑA;0,59;99,41
COMUNITAT VALENCIANA;0,91;99,09
EXTREMADURA;0,29;99,71
GALICIA;1,08;98,92
MADRID, COMUNIDAD DE;0,72;99,28
MURCIA, REGIÓN DE;0,80;99,20
NAVARRA, COMUNIDAD FORAL DE;0,77;99,23
PAÍS VASCO;0,72;99,28
RIOJA, LA;0,14;99,86
CEUTA;1,81;98,19
MELILLA;0,09;99,91
